column,group,count,mean,median,min,max
tbp_lv_deltaLBnorm,target_0,400666,7.537780,6.945794,3.001138,30.487456
tbp_lv_deltaLBnorm,target_1,393,8.703975,7.629472,3.058250,30.340920
tbp_lv_dnn_lesion_confidence,all,401059,97.162204,99.994588,0.000000,100.000000
tbp_lv_dnn_lesion_confidence,target_0,400666,97.177634,99.994610,0.000000,100.000000
tbp_lv_dnn_lesion_confidence,target_1,393,81.431493,99.684890,0.000002,100.000000
tbp_lv_eccentricity,all,401059,0.741238,0.768215,0.027667,0.974960
tbp_lv_eccentricity,target_0,400666,0.741262,0.768237,0.027667,0.974960
tbp_lv_eccentricity,target_1,393,0.716914,0.738177,0.193099,0.960627
tbp_lv_minorAxisMM,all,401059,2.539773,2.265201,0.273973,18.387900
tbp_lv_minorAxisMM,target_0,400666,2.538459,2.264226,0.273973,18.387900
tbp_lv_minorAxisMM,target_1,393,3.879183,3.543483,0.547945,13.031066
tbp_lv_nevi_confidence,all,401059,38.520265,14.408514,0.000000,100.000000
tbp_lv_nevi_confidence,target_0,400666,38.537596,14.451695,0.000000,100.000000
tbp_lv_nevi_confidence,target_1,393,20.850907,0.489743,0.000000,99.998780
tbp_lv_norm_border,all,401059,3.451523,2.996933,0.589426,10.000000
tbp_lv_norm_border,target_0,400666,3.451159,2.996717,0.589426,10.000000
tbp_lv_norm_border,target_1,393,3.823057,3.345044,1.023068,10.000000
tbp_lv_norm_color,all,401059,3.091590,2.764664,0.000000,10.000000
tbp_lv_norm_color,target_0,400666,3.090164,2.763985,0.000000,10.000000
tbp_lv_norm_color,target_1,393,4.545228,4.531665,0.000000,10.000000
tbp_lv_perimeterMM,all,401059,11.878891,10.015440,2.579237,102.493900
tbp_lv_perimeterMM,target_0,400666,11.872182,10.015438,2.579237,102.493900
tbp_lv_perimeterMM,target_1,393,18.718538,16.242270,2.806203,76.019620
tbp_lv_radial_color_std_max,all,401059,1.016459,0.902281,0.000000,11.491140
tbp_lv_radial_color_std_max,target_0,400666,1.015873,0.902049,0.000000,11.491140
tbp_lv_radial_color_std_max,target_1,393,1.613218,1.475259,0.000000,7.020391
tbp_lv_stdL,all,401059,2.715190,2.186693,0.268160,17.563650
tbp_lv_stdL,target_0,400666,2.714500,2.186371,0.268160,17.563650
tbp_lv_stdL,target_1,393,3.418305,2.724339,0.490105,14.004394
tbp_lv_stdLExt,all,401059,2.238605,2.149758,0.636247,25.534791
tbp_lv_stdLExt,target_0,400666,2.238095,2.149499,0.636247,25.534791
tbp_lv_stdLExt,target_1,393,2.758215,2.534622,1.112039,15.733160
tbp_lv_symm_2axis,all,401059,0.306823,0.282297,0.052034,0.977055
tbp_lv_symm_2axis,target_0,400666,0.306813,0.282258,0.052034,0.977055
tbp_lv_symm_2axis,target_1,393,0.317134,0.303571,0.076033,0.767033
tbp_lv_symm_2axis_angle,all,401059,86.332073,90.000000,0.000000,175.000000
tbp_lv_symm_2axis_angle,target_0,400666,86.330647,90.000000,0.000000,175.000000
tbp_lv_symm_2axis_angle,target_1,393,87.786260,90.000000,0.000000,175.000000
tbp_lv_x,all,401059,-3.091862,-5.747253,-624.870728,614.471700
tbp_lv_x,target_0,400666,-3.075480,-5.724847,-624.870728,614.471700
tbp_lv_x,target_1,393,-19.793436,-22.899292,-499.481934,467.847500
tbp_lv_y,all,401059,1039.598221,1172.803000,-1052.134000,1887.766846
tbp_lv_y,target_0,400666,1039.470821,1172.709919,-1052.134000,1887.766846
tbp_lv_y,target_1,393,1169.483517,1286.181000,25.816711,1864.878662
tbp_lv_z,all,401059,55.823389,67.957947,-291.890442,319.407000
tbp_lv_z,target_0,400666,55.845144,67.992142,-291.890442,319.407000
tbp_lv_z,target_1,393,33.644145,35.604858,-218.200900,220.518600
