column,unique_count,value,count,ratio
isic_id,401059,ISIC_0051896,1,0.000002
isic_id,401059,ISIC_0051897,1,0.000002
isic_id,401059,ISIC_0051958,1,0.000002
isic_id,401059,ISIC_0051983,1,0.000002
isic_id,401059,ISIC_0052003,1,0.000002
isic_id,401059,ISIC_0052004,1,0.000002
isic_id,401059,ISIC_0052026,1,0.000002
isic_id,401059,ISIC_0052042,1,0.000002
lesion_id,22058,IL_6727506,1,0.000002
lesion_id,22058,IL_3854228,1,0.000002
lesion_id,22058,IL_9898853,1,0.000002
lesion_id,22058,IL_2988728,1,0.000002
lesion_id,22058,IL_6219432,1,0.000002
lesion_id,22058,IL_6272856,1,0.000002
lesion_id,22058,IL_9949284,1,0.000002
lesion_id,22058,IL_3272524,1,0.000002
lesion_id,22058,IL_5505434,1,0.000002
lesion_id,22058,IL_4191716,1,0.000002
lesion_id,22058,IL_1913587,1,0.000002
lesion_id,22058,IL_7117713,1,0.000002
lesion_id,22058,IL_2748178,1,0.000002
lesion_id,22058,IL_6397564,1,0.000002
lesion_id,22058,IL_4475532,1,0.000002
lesion_id,22058,IL_8530712,1,0.000002
lesion_id,22058,IL_1701872,1,0.000002
lesion_id,22058,IL_0173466,1,0.000002
lesion_id,22058,IL_3396908,1,0.000002
lesion_id,22058,IL_0030347,1,0.000002
malignant,2,0.0,400666,0.999020
malignant,2,1.0,393,0.000980
